participant_id,trial_id,target_name,phase,timestamp,raw_x,raw_y,smooth_raw_x,smooth_raw_y,mapped_x,mapped_y,left_ear,right_ear,head_offset_x,head_pose_status,fps,valid_face,camera_index
P01,2,LEFT_TOP,RECORD,1780240359.2340121,,,,,,,,,,NO_FACE,31.278834250600326,0,1
P01,2,LEFT_TOP,RECORD,1780240359.269532,,,,,,,,,,NO_FACE,28.153281290902868,0,1
P01,2,LEFT_TOP,RECORD,1780240359.302645,,,,,,,,,,NO_FACE,30.199616952032603,0,1
P01,2,LEFT_TOP,RECORD,1780240359.338549,,,,,,,,,,NO_FACE,27.852103697407564,0,1
P01,2,LEFT_TOP,RECORD,1780240359.3700395,,,,,,,,,,NO_FACE,31.755543946517665,0,1
P01,2,LEFT_TOP,RECORD,1780240359.4019892,,,,,,,,,,NO_FACE,31.29914108964457,0,1
P01,2,LEFT_TOP,RECORD,1780240359.4338627,,,,,,,,,,NO_FACE,31.374060305040878,0,1
P01,2,LEFT_TOP,RECORD,1780240359.4694452,,,,,,,,,,NO_FACE,28.10366915922918,0,1
P01,2,LEFT_TOP,RECORD,1780240359.501964,,,,,,,,,,NO_FACE,30.7513820256023,0,1
P01,2,LEFT_TOP,RECORD,1780240359.5349066,,,,,,,,,,NO_FACE,30.355892336307907,0,1
P01,2,LEFT_TOP,RECORD,1780240359.5666764,,,,,,,,,,NO_FACE,31.47648065319845,0,1
P01,2,LEFT_TOP,RECORD,1780240359.6001797,,,,,,,,,,NO_FACE,29.847811390306212,0,1
P01,2,LEFT_TOP,RECORD,1780240359.6337533,,,,,,,,,,NO_FACE,29.78528313141786,0,1
P01,2,LEFT_TOP,RECORD,1780240359.666936,,,,,,,,,,NO_FACE,30.136257167081006,0,1
P01,2,LEFT_TOP,RECORD,1780240359.7012057,,,,,,,,,,NO_FACE,29.180202869109074,0,1
P01,2,LEFT_TOP,RECORD,1780240359.7340193,,,,,,,,,,NO_FACE,30.475216159267603,0,1
P01,2,LEFT_TOP,RECORD,1780240359.7671454,,,,,,,,,,NO_FACE,30.18766238907162,0,1
P01,2,LEFT_TOP,RECORD,1780240359.8009706,,,,,,,,,,NO_FACE,29.563792969768738,0,1
P01,2,LEFT_TOP,RECORD,1780240359.8339055,,,,,,,,,,NO_FACE,30.36292430088534,0,1
P01,2,LEFT_TOP,RECORD,1780240359.8686888,,,,,,,,,,NO_FACE,28.74937625092534,0,1
P01,2,LEFT_TOP,RECORD,1780240359.90129,,,,,,,,,,NO_FACE,30.673794601393897,0,1
P01,2,LEFT_TOP,RECORD,1780240359.934506,,,,,,,,,,NO_FACE,30.105973384630843,0,1
P01,2,LEFT_TOP,RECORD,1780240359.968738,,,,,,,,,,NO_FACE,29.21231369271486,0,1
P01,2,LEFT_TOP,RECORD,1780240360.005036,,,,,,,,,,NO_FACE,27.549699497520443,0,1
P01,2,LEFT_TOP,RECORD,1780240360.035758,,,,,,,,,,NO_FACE,32.550067128677526,0,1
P01,2,LEFT_TOP,RECORD,1780240360.0697796,,,,,,,,,,NO_FACE,29.39307764003448,0,1
P01,2,LEFT_TOP,RECORD,1780240360.1026537,,,,,,,,,,NO_FACE,30.41907690522468,0,1
P01,2,LEFT_TOP,RECORD,1780240360.1363628,,,,,,,,,,NO_FACE,29.66562460215297,0,1
P01,2,LEFT_TOP,RECORD,1780240360.168135,,,,,,,,,,NO_FACE,31.47411865347961,0,1
P01,2,LEFT_TOP,RECORD,1780240360.2011514,,,,,,,,,,NO_FACE,30.287938417544645,0,1
P01,2,LEFT_TOP,RECORD,1780240360.234876,,,,,,,,,,NO_FACE,29.6519925627956,0,1
P01,2,LEFT_TOP,RECORD,1780240360.267402,,,,,,,,,,NO_FACE,30.744619715006156,0,1
P01,2,LEFT_TOP,RECORD,1780240360.3020475,,,,,,,,,,NO_FACE,28.863729578705424,0,1
P01,2,LEFT_TOP,RECORD,1780240360.3344417,,,,,,,,,,NO_FACE,30.86975145542463,0,1
P01,2,LEFT_TOP,RECORD,1780240360.370121,,,,,,,,,,NO_FACE,28.027423989308385,0,1
P01,3,LEFT_BOTTOM,RECORD,1780240361.9339554,,,,,,,,,,NO_FACE,40.327907312148454,0,1
P01,3,LEFT_BOTTOM,RECORD,1780240361.967076,0.5120514354066986,0.603125,0.5120514354066986,0.603125,655,434,0.23485477476269473,0.2683790616047659,0.3107255520504732,HEAD_RIGHT,30.19266041837631,1,1
P01,3,LEFT_BOTTOM,RECORD,1780240362.0018895,0.5020833333333333,0.6067708333333334,0.507067384370016,0.6049479166666667,649,435,0.19882580663387123,0.21311475409836064,0.3018867924528302,HEAD_RIGHT,28.724568203920064,1,1
